employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
118,Guy,Himuro,GHIMURO,515.127.4565,15-NOV-98,PU_CLERK,2600,,114.0,30.0
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-AUG-99,PU_CLERK,2500,,114.0,30.0
120,Matthew,Weiss,MWEISS,650.123.1234,18-JUL-96,ST_MAN,8000,,100.0,50.0
121,Adam,Fripp,AFRIPP,650.123.2234,10-APR-97,ST_MAN,8200,,100.0,50.0
122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-MAY-95,ST_MAN,7900,,100.0,50.0
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-OCT-97,ST_MAN,6500,,100.0,50.0
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-NOV-99,ST_MAN,5800,,100.0,50.0
125,Julia,Nayer,JNAYER,650.124.1214,16-JUL-97,ST_CLERK,3200,,120.0,50.0
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-SEP-98,ST_CLERK,2700,,120.0,50.0
127,James,Landry,JLANDRY,650.124.1334,14-JAN-99,ST_CLERK,2400,,120.0,50.0
128,Steven,Markle,SMARKLE,650.124.1434,08-MAR-00,ST_CLERK,2200,,120.0,50.0
129,Laura,Bissot,LBISSOT,650.124.5234,20-AUG-97,ST_CLERK,3300,,121.0,50.0
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-OCT-97,ST_CLERK,2800,,121.0,50.0
131,James,Marlow,JAMRLOW,650.124.7234,16-FEB-97,ST_CLERK,2500,,121.0,50.0
132,TJ,Olson,TJOLSON,650.124.8234,10-APR-99,ST_CLERK,2100,,121.0,50.0
133,Jason,Mallin,JMALLIN,650.127.1934,14-JUN-96,ST_CLERK,3300,,122.0,50.0
134,Michael,Rogers,MROGERS,650.127.1834,26-AUG-98,ST_CLERK,2900,,122.0,50.0
135,Ki,Gee,KGEE,650.127.1734,12-DEC-99,ST_CLERK,2400,,122.0,50.0
136,Hazel,Philtanker,HPHILTAN,650.127.1634,06-FEB-00,ST_CLERK,2200,,122.0,50.0
137,Renske,Ladwig,RLADWIG,650.121.1234,14-JUL-95,ST_CLERK,3600,,123.0,50.0
138,Stephen,Stiles,SSTILES,650.121.2034,26-OCT-97,ST_CLERK,3200,,123.0,50.0
139,John,Seo,JSEO,650.121.2019,12-FEB-98,ST_CLERK,2700,,123.0,50.0
140,Joshua,Patel,JPATEL,650.121.1834,06-APR-98,ST_CLERK,2500,,123.0,50.0
141,Trenna,Rajs,TRAJS,650.121.8009,17-OCT-95,ST_CLERK,3500,,124.0,50.0
142,Curtis,Davies,CDAVIES,650.121.2994,29-JAN-97,ST_CLERK,3100,,124.0,50.0
143,Randall,Matos,RMATOS,650.121.2874,15-MAR-98,ST_CLERK,2600,,124.0,50.0
144,Peter,Vargas,PVARGAS,650.121.2004,09-JUL-98,ST_CLERK,2500,,124.0,50.0
145,John,Russell,JRUSSEL,011.44.1344.429268,01-OCT-96,SA_MAN,27500,0.4,100.0,80.0
146,Karen,Partners,KPARTNER,011.44.1344.467268,05-JAN-97,SA_MAN,14850,0.3,100.0,80.0
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,10-MAR-97,SA_MAN,13200,0.3,100.0,80.0
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,15-OCT-99,SA_MAN,12100,0.3,100.0,80.0
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,29-JAN-00,SA_MAN,11550,0.2,100.0,80.0
150,Peter,Tucker,PTUCKER,011.44.1344.129268,30-JAN-97,SA_REP,11000,0.3,145.0,80.0
151,David,Bernstein,DBERNSTE,011.44.1344.345268,24-MAR-97,SA_REP,10450,0.25,145.0,80.0
152,Peter,Hall,PHALL,011.44.1344.478968,20-AUG-97,SA_REP,9900,0.25,145.0,80.0
153,Christopher,Olsen,COLSEN,011.44.1344.498718,30-MAR-98,SA_REP,8800,0.2,145.0,80.0
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,09-DEC-98,SA_REP,8250,0.2,145.0,80.0
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,23-NOV-99,SA_REP,7700,0.15,145.0,80.0
156,Janette,King,JKING,011.44.1345.429268,30-JAN-96,SA_REP,11000,0.35,146.0,80.0
157,Patrick,Sully,PSULLY,011.44.1345.929268,04-MAR-96,SA_REP,10450,0.35,146.0,80.0
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,01-AUG-96,SA_REP,9900,0.35,146.0,80.0
159,Lindsey,Smith,LSMITH,011.44.1345.729268,10-MAR-97,SA_REP,8800,0.3,146.0,80.0
160,Louise,Doran,LDORAN,011.44.1345.629268,15-DEC-97,SA_REP,8250,0.3,146.0,80.0
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,03-NOV-98,SA_REP,7700,0.25,146.0,80.0
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11-NOV-97,SA_REP,11550,0.25,147.0,80.0
163,Danielle,Greene,DGREENE,011.44.1346.229268,19-MAR-99,SA_REP,10450,0.15,147.0,80.0
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,24-JAN-00,SA_REP,7920,0.1,147.0,80.0
165,David,Lee,DLEE,011.44.1346.529268,23-FEB-00,SA_REP,7480,0.1,147.0,80.0
166,Sundar,Ande,SANDE,011.44.1346.629268,24-MAR-00,SA_REP,7040,0.1,147.0,80.0
167,Amit,Banda,ABANDA,011.44.1346.729268,21-APR-00,SA_REP,6820,0.1,147.0,80.0
168,Lisa,Ozer,LOZER,011.44.1343.929268,11-MAR-97,SA_REP,12650,0.25,148.0,80.0
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,23-MAR-98,SA_REP,11000,0.2,148.0,80.0
170,Tayler,Fox,TFOX,011.44.1343.729268,24-JAN-98,SA_REP,10560,0.2,148.0,80.0
171,William,Smith,WSMITH,011.44.1343.629268,23-FEB-99,SA_REP,8140,0.15,148.0,80.0
172,Elizabeth,Bates,EBATES,011.44.1343.529268,24-MAR-99,SA_REP,8030,0.15,148.0,80.0
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,21-APR-00,SA_REP,6710,0.1,148.0,80.0
174,Ellen,Abel,EABEL,011.44.1644.429267,11-MAY-96,SA_REP,12100,0.3,149.0,80.0
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,19-MAR-97,SA_REP,9680,0.25,149.0,80.0
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,24-MAR-98,SA_REP,9460,0.2,149.0,80.0
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,23-APR-98,SA_REP,9240,0.2,149.0,80.0
178,Kimberely,Grant,KGRANT,011.44.1644.429263,24-MAY-99,SA_REP,7000,0.15,149.0,
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,04-JAN-00,SA_REP,6820,0.1,149.0,80.0
180,Winston,Taylor,WTAYLOR,650.507.9876,24-JAN-98,SH_CLERK,3200,,120.0,50.0
181,Jean,Fleaur,JFLEAUR,650.507.9877,23-FEB-98,SH_CLERK,3100,,120.0,50.0
182,Martha,Sullivan,MSULLIVA,650.507.9878,21-JUN-99,SH_CLERK,2500,,120.0,50.0
183,Girard,Geoni,GGEONI,650.507.9879,03-FEB-00,SH_CLERK,2800,,120.0,50.0
184,Nandita,Sarchand,NSARCHAN,650.509.1876,27-JAN-96,SH_CLERK,4200,,121.0,50.0
185,Alexis,Bull,ABULL,650.509.2876,20-FEB-97,SH_CLERK,4100,,121.0,50.0
186,Julia,Dellinger,JDELLING,650.509.3876,24-JUN-98,SH_CLERK,3400,,121.0,50.0
187,Anthony,Cabrio,ACABRIO,650.509.4876,07-FEB-99,SH_CLERK,3000,,121.0,50.0
188,Kelly,Chung,KCHUNG,650.505.1876,14-JUN-97,SH_CLERK,3800,,122.0,50.0
189,Jennifer,Dilly,JDILLY,650.505.2876,13-AUG-97,SH_CLERK,3600,,122.0,50.0
190,Timothy,Gates,TGATES,650.505.3876,11-JUL-98,SH_CLERK,2900,,122.0,50.0
191,Randall,Perkins,RPERKINS,650.505.4876,19-DEC-99,SH_CLERK,2500,,122.0,50.0
192,Sarah,Bell,SBELL,650.501.1876,04-FEB-96,SH_CLERK,4000,,123.0,50.0
193,Britney,Everett,BEVERETT,650.501.2876,03-MAR-97,SH_CLERK,3900,,123.0,50.0
194,Samuel,McCain,SMCCAIN,650.501.3876,01-JUL-98,SH_CLERK,3200,,123.0,50.0
195,Vance,Jones,VJONES,650.501.4876,17-MAR-99,SH_CLERK,2800,,123.0,50.0
196,Alana,Walsh,AWALSH,650.507.9811,24-APR-98,SH_CLERK,3100,,124.0,50.0
197,Kevin,Feeney,KFEENEY,650.507.9822,23-MAY-98,SH_CLERK,3000,,124.0,50.0
198,Donald,OConnell,DOCONNEL,650.507.9833,21-JUN-99,SH_CLERK,2600,,124.0,50.0
199,Douglas,Grant,DGRANT,650.507.9844,13-JAN-00,SH_CLERK,2600,,124.0,50.0
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-SEP-87,AD_ASST,5000,,101.0,10.0
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-FEB-96,MK_MAN,13000,,100.0,20.0
202,Pat,Fay,PFAY,603.123.6666,17-AUG-97,MK_REP,6000,,201.0,20.0
203,Susan,Mavris,SMAVRIS,515.123.7777,07-JUN-94,HR_REP,6500,,101.0,40.0
204,Hermann,Baer,HBAER,515.123.8888,07-JUN-94,PR_REP,10000,,101.0,70.0
205,Shelley,Higgins,SHIGGINS,515.123.8080,07-JUN-94,AC_MGR,12000,,101.0,110.0
206,William,Gietz,WGIETZ,515.123.8181,07-JUN-94,AC_ACCOUNT,8300,,205.0,110.0
